[1] "d.pm.mic" "HM7"     
Inference for Bugs model at "hyena.model7.txt", fit using WinBUGS,
 2 chains, each with 10 iterations (first 5 discarded)
 n.sims = 10 iterations saved
                     mean   sd    2.5%     25%     50%     75%   97.5% Rhat n.eff
resid[314]           2.35 0.59    1.84    1.93    2.17    2.64    3.48 0.98    10
resid[315]           1.07 0.23    0.61    0.97    1.10    1.25    1.29 1.18    10
resid[316]           3.06 1.16    1.59    2.08    3.32    3.52    4.97 1.46     5
resid[317]           3.02 0.88    1.67    2.49    3.15    3.46    4.38 0.96    10
resid[318]          -2.14 1.00   -4.27   -2.13   -1.79   -1.68   -1.29 1.12    10
resid[319]           2.82 1.10    1.68    2.22    2.47    3.28    4.90 1.01    10
resid[320]          -0.16 0.36   -0.58   -0.50   -0.16    0.11    0.35 0.92    10
resid[321]           3.19 1.06    1.78    2.51    3.22    3.50    5.10 1.23     7
resid[322]          -0.17 0.14   -0.37   -0.28   -0.16   -0.09    0.03 1.23     8
resid[323]           2.73 1.18    1.60    1.82    2.33    3.74    4.50 1.19     8
resid[324]           3.04 1.09    1.61    2.08    2.92    4.13    4.36 4.01     2
resid[325]           2.35 0.78    1.51    1.83    2.20    2.50    3.72 0.90    10
resid[326]          -0.87 0.22   -1.25   -0.99   -0.83   -0.69   -0.61 0.95    10
resid[327]          -2.38 1.10   -4.33   -2.92   -2.17   -1.59   -1.21 0.98    10
resid[328]          -0.78 0.31   -1.27   -1.00   -0.69   -0.58   -0.39 1.75     4
resid[329]          -2.58 0.93   -3.94   -3.17   -2.71   -1.74   -1.33 1.02    10
resid[330]           2.78 0.86    1.93    2.20    2.46    3.23    4.22 0.91    10
resid[331]           3.36 1.18    2.04    2.20    3.47    4.18    5.05 1.12    10
resid[332]           1.38 0.22    1.07    1.24    1.34    1.52    1.73 0.99    10
resid[333]           1.38 0.24    0.98    1.27    1.38    1.48    1.76 1.11    10
resid[334]           1.39 0.27    1.01    1.24    1.31    1.59    1.82 1.45     5
resid[335]          -0.63 0.23   -0.91   -0.84   -0.58   -0.55   -0.28 0.98    10
resid[336]          -0.68 0.30   -1.14   -0.94   -0.61   -0.43   -0.37 1.26     7
resid[337]          -0.55 0.23   -0.97   -0.65   -0.51   -0.39   -0.29 1.81     4
resid[338]          -0.68 0.35   -1.14   -0.97   -0.66   -0.37   -0.20 0.96    10
resid[339]          -1.90 0.56   -2.86   -2.30   -1.71   -1.57   -1.26 1.03    10
resid[340]           1.55 0.25    1.14    1.41    1.54    1.73    1.89 3.16     3
resid[341]           1.60 0.28    0.99    1.53    1.67    1.75    1.86 1.41     7
resid[342]           0.07 0.27   -0.36   -0.05    0.11    0.14    0.49 1.06    10
resid[343]           0.94 0.26    0.53    0.81    0.96    1.10    1.34 1.21     9
resid[344]           3.01 1.03    2.00    2.12    2.74    3.55    4.81 3.67     2
resid[345]          -0.49 0.32   -0.90   -0.74   -0.51   -0.25   -0.03 1.08    10
resid[346]          -2.31 0.76   -3.23   -2.90   -2.28   -1.99   -1.09 1.26     7
resid[347]           1.59 0.21    1.21    1.57    1.63    1.73    1.80 1.04    10
resid[348]          -1.94 1.07   -4.09   -2.28   -1.66   -1.26   -0.93 1.04    10
resid[349]           3.01 1.00    1.69    2.31    2.91    3.45    4.79 1.61     4
resid[350]           2.96 1.35    1.46    1.57    2.89    4.36    4.51 1.15    10
resid[351]           2.29 0.61    1.58    1.70    2.29    2.69    3.23 1.54     5
resid[352]           2.74 1.53    1.47    1.77    2.05    3.15    5.77 1.27     7
resid[353]           1.97 0.59    1.19    1.61    1.81    2.32    2.90 1.65     4
resid[354]           2.71 1.11    1.70    1.86    2.39    3.28    4.74 1.05    10
resid[355]          -0.98 0.22   -1.25   -1.15   -1.02   -0.80   -0.65 1.82     4
resid[356]           2.95 1.06    1.46    2.10    2.98    3.36    4.67 0.98    10
resid[357]          -3.03 1.43   -5.90   -3.48   -2.77   -2.29   -1.46 1.17    10
resid[358]           2.60 1.24    1.43    2.12    2.28    2.44    5.14 1.93     4
resid[359]           2.57 1.31    1.64    2.00    2.21    2.55    5.07 1.15    10
resid[360]           2.71 1.50    1.60    1.69    1.85    3.70    5.21 1.07    10
resid[361]          -0.86 0.32   -1.23   -1.14   -0.89   -0.64   -0.41 1.03    10
resid[362]          -0.92 0.28   -1.25   -1.14   -0.98   -0.72   -0.47 1.22     8
resid[363]           0.46 0.26    0.14    0.24    0.43    0.66    0.80 0.95    10
resid[364]          -0.85 0.23   -1.22   -0.97   -0.83   -0.77   -0.47 1.04    10
resid[365]          -2.73 1.16   -4.85   -3.31   -2.71   -1.71   -1.55 1.28     7
resid[366]           1.21 0.19    0.87    1.12    1.20    1.36    1.42 1.47     5
resid[367]           2.70 0.83    1.83    2.23    2.46    2.88    4.25 2.06     3
resid[368]           2.57 0.74    1.77    2.11    2.42    2.77    4.00 0.97    10
resid[369]           2.71 0.68    1.71    2.12    2.83    3.15    3.66 1.02    10
resid[370]          -1.89 0.53   -2.85   -2.00   -1.90   -1.46   -1.28 1.06    10
resid[371]           0.49 0.24    0.12    0.31    0.56    0.65    0.77 1.51     5
resid[372]          -2.01 0.49   -2.73   -2.29   -2.17   -1.70   -1.29 1.20     8
resid[373]          -2.48 0.85   -4.13   -2.62   -2.37   -1.85   -1.58 2.04     3
resid[374]          -2.29 1.20   -4.09   -3.36   -1.77   -1.45   -1.08 1.09    10
resid[375]           2.97 0.92    1.71    2.21    3.27    3.51    4.34 1.03    10
resid[376]          -2.51 1.13   -4.25   -3.40   -2.13   -1.77   -1.16 1.09    10
resid[377]           3.36 0.72    2.43    2.79    3.35    3.78    4.55 0.97    10
resid[378]           3.47 1.07    2.04    2.74    3.39    3.89    5.24 1.53     5
resid[379]           2.45 0.55    1.80    2.17    2.33    2.56    3.50 0.95    10
resid[380]          -0.56 0.27   -1.06   -0.65   -0.55   -0.38   -0.23 1.45     5
resid[381]           1.56 0.27    0.98    1.50    1.59    1.74    1.81 1.20    10
resid[382]           1.42 0.26    1.10    1.25    1.34    1.63    1.83 1.02    10
resid[383]          -2.53 0.85   -4.09   -2.98   -2.27   -2.07   -1.62 0.92    10
resid[384]           1.39 0.26    1.05    1.23    1.29    1.58    1.79 0.95    10
resid[385]           3.18 0.94    2.06    2.40    3.10    3.68    4.74 0.99    10
resid[386]          -2.37 0.91   -4.15   -2.58   -2.23   -1.79   -1.38 1.31     7
resid[387]           0.18 0.23   -0.16    0.07    0.16    0.31    0.56 1.01    10
resid[388]          -2.24 1.22   -4.35   -3.09   -1.83   -1.29   -0.97 1.55     5
resid[389]          -0.46 0.39   -1.03   -0.65   -0.56   -0.26    0.19 2.05     3
resid[390]          -0.46 0.37   -1.03   -0.73   -0.41   -0.27    0.06 2.52     3
resid[391]          -0.48 0.32   -0.94   -0.66   -0.47   -0.40    0.09 1.61     4
resid[392]          -0.24 0.30   -0.56   -0.50   -0.28   -0.04    0.22 1.99     3
resid[393]          -0.41 0.27   -0.76   -0.58   -0.42   -0.33    0.11 1.80     4
resid[394]          -0.38 0.32   -0.82   -0.46   -0.43   -0.27    0.16 2.33     3
resid[395]          -0.46 0.36   -0.86   -0.70   -0.55   -0.36    0.23 1.63     5
resid[396]          -0.28 0.33   -0.89   -0.35   -0.14   -0.14    0.12 1.61     5
resid[397]           0.28 0.38   -0.33   -0.01    0.39    0.52    0.75 1.61     4
resid[398]          -0.30 0.32   -0.88   -0.46   -0.15   -0.14    0.08 1.56     5
resid[399]           2.29 0.39    1.74    1.98    2.26    2.68    2.74 2.54     3
resid[400]          -0.90 0.32   -1.27   -1.16   -0.98   -0.66   -0.44 1.28     7
resid[401]          -1.03 0.16   -1.30   -1.10   -1.01   -0.97   -0.79 1.74     4
resid[402]          -2.13 0.79   -3.38   -2.69   -1.93   -1.51   -1.20 0.91    10
resid[403]          -3.16 1.19   -5.25   -3.87   -2.98   -2.25   -1.87 1.14    10
resid[404]           2.51 0.71    1.49    2.06    2.60    3.03    3.52 0.93    10
resid[405]          -2.90 1.18   -5.22   -3.02   -2.74   -1.99   -1.83 1.06    10
resid[406]           3.40 1.43    1.73    2.42    2.99    3.94    6.02 0.91    10
resid[407]           2.49 1.04    1.63    1.78    2.27    2.60    4.60 1.10    10
resid[408]          -2.68 1.18   -4.58   -3.51   -2.05   -1.87   -1.50 0.93    10
resid[409]          -0.17 0.27   -0.56   -0.34   -0.11    0.02    0.16 0.93    10
resid[410]          -2.79 1.01   -4.40   -3.32   -2.66   -2.17   -1.30 0.99    10
resid[411]          -2.47 1.02   -3.94   -3.26   -2.58   -1.50   -1.21 1.31     7
resid[412]          -1.96 0.69   -3.18   -2.51   -1.61   -1.47   -1.36 1.12    10
resid[413]          -2.42 0.78   -3.63   -2.88   -2.39   -2.03   -1.25 1.11    10
resid[414]          -2.71 1.58   -5.63   -3.55   -2.43   -1.38   -1.26 1.02    10
resid[415]          -2.22 1.07   -4.27   -2.60   -1.75   -1.61   -1.22 1.22    10
resid[416]          -3.22 2.04   -7.41   -3.99   -2.30   -1.95   -1.76 1.16    10
resid[417]          -2.68 0.93   -4.02   -3.43   -2.52   -2.10   -1.47 0.94    10
resid[418]          -2.20 0.90   -3.86   -2.26   -1.84   -1.64   -1.43 1.24    10
resid[419]          -0.63 0.14   -0.84   -0.66   -0.62   -0.57   -0.38 1.02    10
resid[420]           0.06 0.21   -0.24   -0.10    0.05    0.27    0.32 0.90    10
resid[421]           0.02 0.18   -0.17   -0.13   -0.03    0.16    0.31 1.07    10
resid[422]          -0.62 0.24   -0.99   -0.79   -0.64   -0.45   -0.29 1.04    10
resid[423]           0.07 0.23   -0.29   -0.04    0.04    0.26    0.40 0.95    10
resid[424]           0.02 0.17   -0.24   -0.02    0.02    0.09    0.32 1.75     4
resid[425]          -0.68 0.19   -0.98   -0.82   -0.68   -0.52   -0.46 2.08     3
resid[426]           2.67 0.84    1.69    1.83    2.64    3.38    3.72 0.97    10
resid[427]           0.08 0.30   -0.30   -0.18    0.02    0.38    0.43 0.91    10
resid[428]           3.19 1.00    1.82    2.53    3.20    3.62    4.83 1.14    10
resid[429]           2.69 0.72    1.91    2.12    2.52    3.13    3.94 0.95    10
resid[430]           3.64 1.02    2.44    2.77    3.65    4.28    5.23 2.16     3
resid[431]          -2.22 0.88   -3.64   -2.73   -2.24   -1.65   -0.94 1.16    10
resid[432]           3.29 1.34    1.94    2.58    2.87    3.51    5.93 1.04    10
resid[433]           3.55 1.21    1.75    2.93    3.37    4.31    5.42 1.16    10
resid[434]          -2.39 1.14   -4.49   -2.64   -1.95   -1.79   -1.25 2.01     3
resid[435]          -2.95 1.13   -5.05   -3.55   -2.55   -2.26   -1.69 1.10    10
resid[436]          -2.67 0.77   -3.79   -3.07   -2.69   -2.26   -1.52 1.12    10
resid[437]          -3.12 0.62   -3.93   -3.66   -3.08   -2.72   -2.22 1.08    10
resid[438]          -1.13 0.36   -1.70   -1.41   -1.10   -0.84   -0.71 1.16     9
resid[439]          -0.23 0.18   -0.50   -0.34   -0.21   -0.11    0.04 1.31     8
resid[440]           3.19 1.41    1.74    2.04    2.81    4.08    5.57 0.95    10
resid[441]          -0.35 0.24   -0.79   -0.49   -0.29   -0.21   -0.07 1.77     4
resid[442]          -0.94 0.24   -1.23   -1.07   -0.97   -0.87   -0.48 1.16    10
resid[443]          -0.35 0.24   -0.73   -0.45   -0.34   -0.17   -0.03 0.97    10
resid[444]           3.53 1.75    2.09    2.24    2.64    4.26    6.61 1.03    10
resid[445]           3.10 1.57    1.74    1.85    2.38    3.96    5.84 1.65     4
resid[446]           0.43 0.19    0.20    0.26    0.44    0.57    0.70 1.57     5
resid[447]          -0.27 0.24   -0.72   -0.39   -0.27   -0.13    0.05 1.03    10
resid[448]          -0.26 0.18   -0.48   -0.40   -0.32   -0.07   -0.02 0.92    10
resid[449]          -2.45 1.17   -4.46   -2.91   -2.57   -1.36   -1.19 0.93    10
resid[450]          -2.48 1.16   -4.25   -3.22   -2.25   -1.54   -1.17 1.01    10
resid[451]          -0.94 0.20   -1.23   -1.08   -0.96   -0.78   -0.69 1.13    10
resid[452]          -0.85 0.20   -1.21   -0.94   -0.79   -0.72   -0.65 1.05    10
resid[453]          -0.79 0.28   -1.19   -1.00   -0.75   -0.64   -0.38 0.90    10
resid[454]          -2.06 0.71   -3.07   -2.73   -1.93   -1.49   -1.23 0.92    10
resid[455]          -0.62 0.20   -0.90   -0.75   -0.61   -0.51   -0.29 1.01    10
resid[456]           1.49 0.19    1.14    1.40    1.50    1.62    1.72 1.06    10
resid[457]          -1.88 1.00   -3.78   -1.98   -1.43   -1.34   -1.03 0.92    10
resid[458]           0.80 0.28    0.43    0.51    0.94    0.96    1.16 1.05    10
resid[459]          -0.65 0.30   -1.10   -0.86   -0.59   -0.39   -0.33 1.04    10
resid[460]          -0.63 0.30   -1.13   -0.83   -0.61   -0.43   -0.22 1.98     3
resid[461]          -0.61 0.28   -1.03   -0.73   -0.63   -0.39   -0.22 1.59     5
resid[462]           0.67 0.27    0.19    0.56    0.71    0.84    1.02 1.31     8
resid[463]          -0.04 0.24   -0.41   -0.17   -0.04    0.10    0.30 1.37     6
resid[464]           0.28 0.31   -0.30    0.30    0.36    0.51    0.55 2.03     3
resid[465]           3.32 1.30    1.93    2.27    3.30    3.75    5.72 1.00    10
resid[466]          -2.54 0.90   -4.13   -2.76   -2.45   -2.01   -1.32 0.90    10
resid[467]          -2.53 1.30   -4.64   -3.29   -2.13   -1.68   -0.94 1.54     5
resid[468]          -0.60 0.30   -1.00   -0.79   -0.64   -0.45   -0.12 0.91    10
resid[469]          -2.48 1.71   -5.48   -3.18   -1.92   -1.09   -0.96 1.24     7
resid[470]          -2.64 0.93   -4.01   -3.22   -2.85   -1.92   -1.30 0.94    10
resid[471]          -2.89 1.51   -5.41   -3.92   -2.45   -2.03   -1.10 1.06    10
resid[472]          -2.32 0.99   -4.05   -3.06   -1.87   -1.67   -1.34 1.10    10
resid[473]          -2.32 1.19   -4.13   -3.24   -1.90   -1.61   -1.00 0.95    10
sigmaLmic            2.15 0.10    2.03    2.08    2.13    2.20    2.31 1.12    10
pred.type1.visit1    0.06 0.21   -0.28   -0.03    0.10    0.13    0.39 2.30     3
pred.type1.visit2   -0.09 0.16   -0.36   -0.09   -0.08   -0.01    0.15 1.61     5
pred.type1.visit3   -0.23 0.13   -0.43   -0.30   -0.25   -0.11   -0.08 1.01    10
pred.type1.visit4   -0.38 0.15   -0.52   -0.50   -0.42   -0.30   -0.12 1.13    10
pred.type1.visit5   -0.53 0.19   -0.72   -0.63   -0.59   -0.47   -0.15 1.67     4
pred.type2.visit1    0.06 0.21   -0.28   -0.03    0.10    0.13    0.39 2.30     3
pred.type2.visit2   -0.09 0.16   -0.36   -0.09   -0.08   -0.01    0.15 1.61     5
pred.type2.visit3   -0.23 0.13   -0.43   -0.30   -0.25   -0.11   -0.08 1.01    10
pred.type2.visit4   -0.38 0.15   -0.52   -0.50   -0.42   -0.30   -0.12 1.13    10
pred.type2.visit5   -0.53 0.19   -0.72   -0.63   -0.59   -0.47   -0.15 1.67     4
deviance          1641.90 2.33 1638.22 1640.25 1642.50 1643.75 1644.77 0.90    10

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = Dbar-Dhat)
pD = 2.9 and DIC = 1644.8
DIC is an estimate of expected predictive error (lower deviance is better).
