[1] "d.pm.mic" "HM1F"    
Inference for Bugs model at "hyena.model1f.txt", fit using WinBUGS,
 2 chains, each with 10 iterations (first 5 discarded)
 n.sims = 10 iterations saved
                       mean   sd    2.5%     25%     50%     75%   97.5% Rhat n.eff
resid[304]            -0.08 0.34   -0.48   -0.29   -0.19    0.18    0.44 0.97    10
resid[305]             2.27 1.28    0.96    1.48    1.83    2.53    4.78 1.03    10
resid[306]             2.44 1.03    1.57    1.80    2.11    2.32    4.36 1.45     6
resid[307]             2.60 1.57    1.52    1.97    2.04    2.44    5.75 1.13    10
resid[308]             2.04 0.55    1.31    1.49    2.19    2.53    2.68 0.94    10
resid[309]             2.52 1.23    0.84    1.67    2.18    3.36    4.49 1.03    10
resid[310]             2.14 1.42    0.66    1.10    1.86    2.53    4.81 0.92    10
resid[311]            -1.57 0.51   -2.35   -1.88   -1.48   -1.28   -0.89 0.93    10
resid[312]             2.66 1.81    0.94    1.28    1.85    3.90    5.43 0.93    10
resid[313]            -1.44 0.42   -2.17   -1.64   -1.38   -1.21   -0.87 1.01    10
resid[314]             1.98 0.78    0.76    1.36    2.23    2.36    3.15 1.07    10
resid[315]             0.41 0.41   -0.17    0.10    0.45    0.65    1.04 1.17     9
resid[316]             2.09 1.05    0.86    1.35    1.59    3.19    3.49 1.11    10
resid[317]             1.97 1.13    0.78    1.09    1.73    2.58    3.99 1.14    10
resid[318]            -2.87 0.94   -4.43   -3.56   -2.59   -2.13   -1.87 1.27     7
resid[319]             2.07 0.86    1.31    1.67    1.70    2.27    3.79 1.88     4
resid[320]            -0.91 0.39   -1.41   -1.13   -0.99   -0.67   -0.22 1.68     4
resid[321]             2.44 1.47    0.93    1.66    2.02    2.54    5.11 0.91    10
resid[322]            -0.77 0.28   -1.16   -0.95   -0.78   -0.61   -0.30 1.03    10
resid[323]             1.81 0.69    1.14    1.45    1.55    1.99    3.17 1.59     5
resid[324]             2.88 1.87    1.06    1.56    2.30    3.83    6.31 1.05    10
resid[325]             2.14 0.77    0.71    1.87    2.11    2.81    3.01 1.05    10
resid[326]            -1.52 0.44   -2.16   -1.78   -1.57   -1.13   -0.93 1.02    10
resid[327]            -2.86 0.59   -3.93   -3.26   -2.69   -2.39   -2.30 1.03    10
resid[328]            -1.46 0.34   -1.91   -1.68   -1.47   -1.31   -0.89 1.49     5
resid[329]            -3.01 0.99   -4.17   -3.95   -3.03   -2.19   -1.60 1.30     7
resid[330]             2.70 1.28    1.43    1.69    2.41    3.36    5.01 0.99    10
resid[331]             2.33 0.67    1.46    1.90    2.12    2.95    3.26 2.17     3
resid[332]             1.17 0.26    0.80    0.94    1.22    1.31    1.57 1.01    10
resid[333]             1.14 0.30    0.68    0.90    1.22    1.35    1.50 0.95    10
resid[334]             1.03 0.38    0.36    0.75    1.20    1.28    1.44 1.03    10
resid[335]            -1.04 0.37   -1.60   -1.30   -1.10   -0.79   -0.50 1.03    10
resid[336]            -1.16 0.41   -1.82   -1.43   -0.99   -0.91   -0.65 0.94    10
resid[337]            -0.99 0.40   -1.70   -1.22   -0.95   -0.69   -0.55 1.02    10
resid[338]            -1.02 0.38   -1.73   -1.19   -0.95   -0.77   -0.57 1.03    10
resid[339]            -2.49 1.02   -3.75   -3.60   -2.03   -1.63   -1.42 1.14     9
resid[340]             1.11 0.41    0.46    0.82    1.08    1.49    1.61 1.36     6
resid[341]             0.97 0.31    0.57    0.69    0.97    1.15    1.42 1.21     8
resid[342]            -0.16 0.43   -0.93   -0.33   -0.10    0.11    0.37 1.29     7
resid[343]             0.39 0.32   -0.22    0.29    0.45    0.56    0.76 1.19     8
resid[344]             2.70 1.25    1.33    1.91    2.20    3.71    4.68 1.00    10
resid[345]            -0.94 0.40   -1.52   -1.16   -0.95   -0.77   -0.35 0.94    10
resid[346]            -2.72 1.11   -4.80   -2.79   -2.49   -2.19   -1.35 0.98    10
resid[347]             1.30 0.38    0.65    1.08    1.24    1.62    1.79 1.33     6
resid[348]            -2.40 1.21   -4.55   -3.01   -2.12   -1.53   -0.94 1.33     7
resid[349]             2.55 0.81    1.39    1.85    2.70    3.13    3.59 0.98    10
resid[350]             2.59 1.10    1.49    1.96    2.40    2.95    4.67 0.97    10
resid[351]             2.94 1.09    1.56    2.09    2.74    3.81    4.46 0.92    10
resid[352]             2.62 0.85    1.59    2.00    2.50    3.14    3.99 2.16     3
resid[353]             2.35 0.36    1.93    2.05    2.36    2.53    2.99 1.58     5
resid[354]             2.77 0.83    1.81    2.25    2.68    3.03    4.33 1.01    10
resid[355]            -1.42 0.38   -1.77   -1.74   -1.49   -1.22   -0.72 1.13    10
resid[356]             2.30 1.24    0.81    1.30    2.06    2.93    4.35 1.03    10
resid[357]            -2.97 0.54   -3.92   -3.18   -2.99   -2.64   -2.24 1.94     4
resid[358]             2.60 1.23    1.20    1.35    2.81    3.42    4.29 1.17     9
resid[359]             2.88 1.12    1.40    1.84    2.99    3.65    4.42 0.95    10
resid[360]             2.62 1.53    1.12    1.63    2.28    2.71    5.46 1.30     7
resid[361]            -1.34 0.35   -1.75   -1.55   -1.50   -1.11   -0.73 1.15    10
resid[362]            -1.31 0.39   -1.86   -1.57   -1.32   -0.95   -0.87 1.05    10
resid[363]             0.06 0.30   -0.53   -0.04    0.08    0.31    0.32 1.67     4
resid[364]            -1.41 0.39   -2.05   -1.57   -1.36   -1.09   -0.98 1.05    10
resid[365]            -3.11 1.07   -4.99   -3.61   -2.97   -2.50   -1.81 0.96    10
resid[366]             0.67 0.32    0.13    0.46    0.74    0.90    1.04 0.98    10
resid[367]             2.38 0.92    1.19    1.68    2.38    2.83    3.95 0.98    10
resid[368]             2.01 0.54    1.23    1.63    2.05    2.51    2.64 0.96    10
resid[369]             2.55 1.05    1.37    1.80    2.27    3.08    4.39 1.14    10
resid[370]            -2.73 0.90   -4.16   -3.26   -2.65   -2.25   -1.44 1.44     5
resid[371]             0.01 0.41   -0.54   -0.29   -0.04    0.31    0.68 1.02    10
resid[372]            -2.54 0.90   -4.42   -2.62   -2.41   -2.18   -1.70 1.76     4
resid[373]            -2.87 0.90   -4.61   -3.12   -2.74   -2.34   -1.83 1.10    10
resid[374]            -2.40 0.93   -3.82   -3.00   -2.36   -1.59   -1.31 1.23     8
resid[375]             2.82 0.92    1.65    2.02    2.99    3.49    4.13 0.90    10
resid[376]            -1.93 0.69   -2.96   -2.38   -1.83   -1.45   -1.00 2.33     3
resid[377]             2.60 0.81    1.67    1.93    2.45    3.35    3.70 0.96    10
resid[378]             2.16 0.61    1.51    1.66    1.98    2.70    3.07 1.02    10
resid[379]             2.68 0.96    1.65    1.95    2.64    2.75    4.50 0.95    10
resid[380]            -0.79 0.38   -1.30   -1.12   -0.74   -0.53   -0.23 1.57     5
resid[381]             1.28 0.25    0.88    1.12    1.31    1.41    1.63 1.01    10
resid[382]             1.16 0.34    0.73    0.91    1.08    1.43    1.65 1.06    10
resid[383]            -2.80 0.77   -4.08   -3.42   -2.58   -2.27   -1.86 0.95    10
resid[384]             1.28 0.30    1.01    1.05    1.19    1.39    1.85 1.10    10
resid[385]             3.65 1.04    2.43    3.15    3.48    3.77    5.69 0.97    10
resid[386]            -2.36 0.78   -3.62   -2.94   -2.14   -1.71   -1.58 0.96    10
resid[387]            -0.01 0.25   -0.28   -0.19   -0.03    0.18    0.40 0.90    10
resid[388]            -2.35 1.28   -4.91   -2.68   -1.94   -1.44   -1.27 1.07    10
resid[389]             0.85 0.86   -0.84    0.61    1.08    1.31    1.86 1.15    10
resid[390]             0.93 0.66   -0.29    0.67    1.02    1.26    1.85 1.17    10
resid[391]             0.88 0.77   -0.72    0.86    1.01    1.30    1.62 1.23    10
resid[392]             0.91 0.69   -0.36    0.58    1.09    1.35    1.69 1.20    10
resid[393]             0.87 0.64   -0.43    0.85    0.95    1.15    1.57 1.31     8
resid[394]             0.88 0.74   -0.52    0.65    0.92    1.24    1.88 1.26     9
resid[395]             0.93 0.74   -0.53    0.83    0.93    1.35    1.85 1.18    10
resid[396]             0.88 0.78   -0.69    0.82    0.95    1.25    1.77 1.18    10
resid[397]             1.54 0.79   -0.04    1.38    1.61    2.02    2.33 1.11    10
resid[398]             0.86 0.76   -0.56    0.55    0.93    1.40    1.71 1.11    10
resid[399]             1.55 0.73    0.59    1.00    1.52    1.96    2.73 0.93    10
resid[400]            -1.56 0.53   -2.46   -1.92   -1.46   -1.13   -0.94 1.07    10
resid[401]            -1.55 0.46   -2.25   -1.87   -1.48   -1.30   -0.90 0.98    10
resid[402]            -3.07 1.18   -4.82   -3.90   -3.00   -2.12   -1.71 0.95    10
resid[403]            -2.81 0.59   -3.74   -3.18   -2.87   -2.33   -2.03 1.47     5
resid[404]             2.18 1.11    0.71    1.40    1.99    2.80    4.03 0.99    10
resid[405]            -2.96 1.11   -4.86   -3.38   -3.06   -2.00   -1.70 0.91    10
resid[406]             2.14 0.96    0.43    1.89    2.39    2.73    3.18 0.95    10
resid[407]             2.46 1.17    1.41    1.82    2.24    2.53    4.74 2.55     3
resid[408]            -2.70 0.68   -3.95   -2.94   -2.46   -2.31   -1.95 0.90    10
resid[409]             2.44 0.44    1.89    2.04    2.41    2.81    3.10 1.47     5
resid[410]            -1.16 1.49   -3.48   -1.98   -1.01    0.01    0.65 1.67     4
resid[411]            -1.10 1.36   -3.53   -1.52   -1.27   -0.23    0.61 1.14    10
resid[412]            -0.14 1.24   -2.42   -0.74    0.18    0.76    1.27 1.04    10
resid[413]            -1.26 1.35   -3.10   -2.36   -1.26   -0.45    0.86 0.96    10
resid[414]            -1.04 1.53   -3.64   -2.03   -0.71   -0.07    0.88 1.07    10
resid[415]            -1.36 1.44   -3.26   -2.15   -1.61   -0.60    1.14 1.03    10
resid[416]            -0.62 1.73   -4.04   -1.13   -0.36    0.61    1.17 1.11    10
resid[417]            -0.29 1.41   -2.50   -1.35    0.27    0.71    1.21 1.57     5
resid[418]            -0.30 0.63   -1.35   -0.44   -0.25    0.06    0.59 0.90    10
resid[419]            -0.55 0.34   -1.05   -0.74   -0.65   -0.33   -0.04 1.18     9
resid[420]             0.06 0.36   -0.38   -0.26   -0.01    0.42    0.52 1.15     9
resid[421]             0.15 0.49   -0.56   -0.23    0.19    0.46    0.82 1.75     4
resid[422]            -0.63 0.39   -1.14   -0.89   -0.71   -0.40   -0.03 1.05    10
resid[423]             0.12 0.43   -0.44   -0.21    0.05    0.44    0.75 1.56     5
resid[424]             0.09 0.48   -0.64   -0.12    0.01    0.51    0.68 1.95     4
resid[425]            -0.56 0.55   -1.31   -0.87   -0.67   -0.12    0.26 1.33     7
resid[426]             2.70 0.72    1.82    2.43    2.49    2.84    4.07 2.31     3
resid[427]             0.07 0.51   -0.55   -0.30   -0.04    0.37    0.85 1.38     6
resid[428]             3.08 1.17    1.71    2.08    2.79    3.76    4.95 1.08    10
resid[429]             3.09 0.85    2.13    2.56    2.82    3.52    4.53 0.93    10
resid[430]             3.00 0.44    2.50    2.77    2.81    3.36    3.64 1.00    10
resid[431]            -1.96 1.25   -3.94   -2.93   -1.42   -0.99   -0.70 0.92    10
resid[432]             3.19 0.90    1.96    2.65    3.11    3.53    4.78 0.91    10
resid[433]             3.36 0.87    2.27    2.67    3.13    4.06    4.69 1.05    10
resid[434]            -1.58 1.47   -4.06   -2.51   -1.20   -0.71    0.31 1.07    10
resid[435]            -1.71 1.06   -3.17   -2.39   -1.79   -0.82   -0.30 1.01    10
resid[436]            -1.21 1.49   -3.52   -2.49   -0.49   -0.20    0.34 1.08    10
resid[437]            -2.18 1.58   -5.04   -2.47   -1.75   -1.21   -0.54 2.55     3
resid[438]             0.42 0.60   -0.55    0.19    0.43    0.74    1.35 1.13    10
resid[439]            -0.46 0.38   -0.88   -0.78   -0.45   -0.29    0.22 1.66     4
resid[440]             2.02 0.83    1.01    1.46    1.91    2.34    3.39 1.27     7
resid[441]            -0.49 0.55   -1.19   -0.86   -0.54   -0.29    0.46 1.12    10
resid[442]            -1.27 0.56   -1.99   -1.67   -1.36   -0.89   -0.44 1.48     5
resid[443]            -0.42 0.50   -1.02   -0.79   -0.49   -0.10    0.41 1.14    10
resid[444]             2.37 1.20    0.90    1.70    2.29    2.75    4.53 0.94    10
resid[445]             2.34 0.95    1.36    1.78    1.99    2.60    4.20 0.99    10
resid[446]             0.16 0.54   -0.62   -0.13    0.08    0.48    1.02 1.29     7
resid[447]            -0.52 0.41   -0.99   -0.88   -0.56   -0.26    0.13 1.32     6
resid[448]            -0.56 0.54   -1.23   -0.99   -0.57   -0.31    0.37 1.70     4
resid[449]            -0.56 1.32   -3.00   -1.20   -0.27    0.27    1.12 2.04     3
resid[450]            -0.94 1.54   -3.46   -1.44   -1.18    0.05    1.41 1.37     6
resid[451]             1.85 0.67    1.04    1.33    1.75    2.26    2.95 1.71     4
resid[452]             1.94 0.69    0.96    1.42    2.04    2.36    2.98 1.49     5
resid[453]             2.05 0.71    1.11    1.45    2.07    2.40    3.09 1.23     8
resid[454]            -2.58 1.41   -5.09   -3.38   -2.20   -1.53   -1.00 1.06    10
resid[455]            -0.24 0.30   -0.59   -0.43   -0.34   -0.06    0.29 1.06    10
resid[456]             1.84 0.32    1.36    1.62    1.81    2.14    2.26 1.01    10
resid[457]            -1.66 0.95   -3.54   -1.55   -1.25   -1.09   -0.96 0.92    10
resid[458]             1.00 0.37    0.61    0.74    0.88    1.15    1.66 1.20    10
resid[459]            -0.42 0.37   -0.90   -0.66   -0.50   -0.19    0.22 1.21     8
resid[460]            -0.40 0.33   -0.70   -0.66   -0.48   -0.33    0.23 1.56     5
resid[461]            -0.30 0.39   -0.81   -0.55   -0.41   -0.08    0.34 1.05    10
resid[462]             1.06 0.38    0.58    0.76    1.09    1.18    1.72 1.11    10
resid[463]             0.38 0.38   -0.03    0.12    0.26    0.51    1.06 1.19    10
resid[464]             0.53 0.29   -0.04    0.47    0.58    0.65    0.87 1.25     8
resid[465]             3.42 0.79    2.22    2.83    3.49    3.69    4.65 0.90    10
resid[466]            -1.45 0.76   -2.69   -1.95   -1.41   -0.88   -0.58 1.07    10
resid[467]            -1.86 0.73   -2.66   -2.45   -1.98   -1.27   -0.78 1.44     5
resid[468]            -0.24 0.39   -0.82   -0.44   -0.29    0.08    0.33 0.94    10
resid[469]            -1.49 0.70   -2.81   -1.71   -1.26   -1.04   -0.84 1.25     9
resid[470]            -2.14 1.16   -4.06   -2.72   -2.20   -1.33   -0.57 0.96    10
resid[471]            -2.37 1.27   -4.74   -2.76   -1.93   -1.66   -0.97 1.30     7
resid[472]            -1.57 1.05   -3.10   -2.62   -1.19   -0.66   -0.63 0.95    10
resid[473]            -1.83 0.97   -3.77   -2.08   -1.55   -1.27   -0.76 1.05    10
sigmaLmic              1.97 0.06    1.89    1.93    1.97    2.01    2.05 1.17     9
sigmafarm              0.20 0.07    0.10    0.15    0.22    0.24    0.29 1.02    10
pred.type1.visit1     -0.30 0.31   -0.80   -0.49   -0.23   -0.13    0.15 1.09    10
pred.type1.visit2      0.20 0.19   -0.05    0.04    0.19    0.36    0.46 1.15     9
pred.type1.visit3      0.12 0.29   -0.28   -0.05    0.03    0.33    0.60 1.17     9
pred.type1.visit4     -0.35 0.14   -0.53   -0.43   -0.41   -0.25   -0.15 3.33     2
pred.type1.visit5     -0.51 0.22   -0.85   -0.64   -0.46   -0.36   -0.24 1.34     6
pred.type2.visit1     -1.37 0.69   -2.15   -1.73   -1.59   -1.18   -0.01 1.24    10
pred.type2.visit2      0.34 0.40   -0.25    0.13    0.23    0.57    0.94 1.05    10
pred.type2.visit3     -2.91 0.48   -3.60   -3.09   -2.95   -2.64   -2.20 1.87     4
pred.type2.visit4     -0.60 0.32   -1.02   -0.88   -0.51   -0.33   -0.21 1.64     4
pred.type2.visit5     -0.77 0.36   -1.18   -1.04   -0.78   -0.61   -0.10 1.05    10
deviance            1594.80 9.73 1583.45 1586.75 1593.50 1599.75 1611.42 1.02    10

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = Dbar-Dhat)
pD = 10.2 and DIC = 1605.1
DIC is an estimate of expected predictive error (lower deviance is better).
